sample,acc
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0.0625
16,0.0588235
17,0.0555556
18,0.0526316
19,0.05
20,0.047619
21,0.0454545
22,0.0434783
23,0.0416667
24,0.04
25,0.0384615
26,0.037037
27,0.0714286
28,0.0689655
29,0.0666667
30,0.0967742
31,0.09375
32,0.0909091
33,0.0882353
34,0.0857143
35,0.0833333
36,0.0810811
37,0.0789474
38,0.0769231
39,0.075
40,0.0731707
41,0.0714286
42,0.0697674
43,0.0681818
44,0.0888889
45,0.0869565
46,0.0851064
47,0.0833333
48,0.0816327
49,0.1
50,0.117647
51,0.115385
52,0.113208
53,0.111111
54,0.109091
55,0.107143
56,0.105263
57,0.103448
58,0.101695
59,0.1
60,0.0983607
61,0.0967742
62,0.0952381
63,0.09375
64,0.0923077
65,0.0909091
66,0.0895522
67,0.0882353
68,0.101449
69,0.114286
70,0.112676
71,0.111111
72,0.109589
73,0.108108
74,0.106667
75,0.118421
76,0.116883
77,0.115385
78,0.113924
79,0.1125
80,0.111111
81,0.121951
82,0.120482
83,0.119048
84,0.117647
85,0.116279
86,0.114943
87,0.113636
88,0.123596
89,0.122222
90,0.120879
91,0.119565
92,0.11828
93,0.117021
94,0.115789
95,0.125
96,0.123711
97,0.122449
98,0.121212
99,0.12
100,0.118812
101,0.117647
102,0.116505
103,0.115385
104,0.114286
105,0.113208
106,0.11215
107,0.111111
108,0.119266
109,0.118182
110,0.117117
111,0.116071
112,0.123894
113,0.122807
114,0.130435
115,0.12931
116,0.128205
117,0.127119
118,0.134454
119,0.141667
120,0.140496
121,0.147541
122,0.146341
123,0.145161
124,0.152
125,0.150794
126,0.149606
127,0.148438
128,0.147287
129,0.146154
130,0.145038
131,0.143939
132,0.142857
133,0.141791
134,0.140741
135,0.139706
136,0.138686
137,0.137681
138,0.136691
139,0.135714
140,0.134752
141,0.133803
142,0.132867
143,0.131944
144,0.131034
145,0.130137
146,0.129252
147,0.128378
148,0.127517
149,0.126667
150,0.125828
151,0.125
152,0.130719
153,0.12987
154,0.129032
155,0.128205
156,0.133758
157,0.132911
158,0.132075
159,0.13125
160,0.130435
161,0.12963
162,0.128834
163,0.128049
164,0.127273
165,0.13253
166,0.131737
167,0.130952
168,0.130178
169,0.135294
170,0.134503
171,0.133721
172,0.132948
173,0.132184
174,0.137143
175,0.136364
176,0.141243
177,0.140449
178,0.139665
179,0.138889
180,0.138122
181,0.137363
182,0.136612
183,0.13587
184,0.135135
185,0.134409
186,0.13369
187,0.132979
188,0.132275
189,0.131579
190,0.136126
191,0.135417
192,0.134715
193,0.134021
194,0.133333
195,0.132653
196,0.13198
197,0.131313
198,0.130653
199,0.135
200,0.134328
201,0.133663
202,0.133005
203,0.132353
204,0.131707
205,0.131068
206,0.130435
207,0.129808
208,0.133971
209,0.138095
210,0.14218
211,0.146226
212,0.14554
213,0.149533
214,0.148837
215,0.152778
216,0.156682
217,0.155963
218,0.155251
219,0.154545
220,0.158371
221,0.157658
222,0.156951
223,0.15625
224,0.155556
225,0.154867
226,0.154185
227,0.153509
228,0.152838
229,0.156522
230,0.160173
231,0.163793
232,0.16309
233,0.166667
234,0.170213
235,0.169492
236,0.168776
237,0.172269
238,0.171548
239,0.170833
240,0.170124
241,0.169421
242,0.168724
243,0.172131
244,0.171429
245,0.170732
246,0.174089
247,0.173387
248,0.176707
249,0.18
250,0.179283
251,0.18254
252,0.185771
253,0.185039
254,0.184314
255,0.183594
256,0.182879
257,0.182171
258,0.181467
259,0.180769
260,0.183908
261,0.183206
262,0.18251
263,0.181818
264,0.181132
265,0.180451
266,0.179775
267,0.179104
268,0.178439
269,0.181481
270,0.184502
271,0.183824
272,0.18315
273,0.182482
274,0.181818
275,0.184783
276,0.187726
277,0.190647
278,0.189964
279,0.192857
280,0.192171
281,0.195035
282,0.194346
283,0.197183
284,0.196491
285,0.195804
286,0.195122
287,0.194444
288,0.193772
289,0.196552
290,0.199313
291,0.202055
292,0.201365
293,0.204082
294,0.20678
295,0.206081
296,0.208754
297,0.211409
298,0.214047
299,0.216667
300,0.215947
301,0.215232
302,0.217822
303,0.220395
304,0.219672
305,0.218954
306,0.218241
